minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,ng_Brooklyn,ng_Manhattan,ng_Queens,ng_Staten Island,rt_Private room,rt_Shared room
0.0016012810248198558,0.006359300476947536,0.01469098277608916,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0024019215372297837,0.012718600953895072,0.009118541033434652,0.0,0.2,1.0,0.0,0.0,0.0,1.0,0.0
0.055244195356285025,0.0,0.06905883636568702,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.004803843074459567,0.109697933227345,0.04255319148936171,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0032025620496397116,0.011128775834658189,0.0070921985815602835,0.0,0.2,0.0,1.0,0.0,0.0,1.0,0.0
0.016012810248198558,0.022257551669316377,0.06940222897669705,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0008006405124099279,0.011128775834658189,0.1048632218844985,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.023218574859887906,0.0,0.06905883636568702,0.2077922077922078,0.6000000000000001,0.0,1.0,0.0,0.0,0.0,0.0
0.0016012810248198558,0.02384737678855326,0.04052684903748734,0.05194805194805195,0.8,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.055643879173290944,0.07902735562310031,0.004329004329004329,0.4,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.014308426073131956,0.01773049645390071,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0
0.0016012810248198558,0.06836248012718601,0.04052684903748734,0.0,0.4,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.2829888712241654,0.3829787234042554,0.004329004329004329,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.004803843074459567,0.001589825119236884,0.003039513677811551,0.00865800865800866,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.13831478537360892,0.11854103343465047,0.030303030303030304,0.8,0.0,0.0,1.0,0.0,1.0,0.0
0.0008006405124099279,0.028616852146263912,0.01367781155015198,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0024019215372297837,0.01907790143084261,0.00861195542046606,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0008006405124099279,0.012718600953895072,0.0070921985815602835,0.004329004329004329,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0016012810248198558,0.03815580286168522,0.019250253292806486,0.0,0.4,0.0,1.0,0.0,0.0,1.0,0.0
0.0024019215372297837,0.011128775834658189,0.010638297872340427,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0016012810248198558,0.18441971383147854,0.07396149949341439,0.00865800865800866,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.004803843074459567,0.004769475357710652,0.006079027355623101,0.030303030303030304,0.4,0.0,1.0,0.0,0.0,1.0,0.0
0.0024019215372297837,0.20667726550079493,0.1534954407294833,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.06905883636568702,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.011208967173738989,0.057233704292527825,0.016210739614994935,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.02384737678855326,0.010638297872340427,0.004329004329004329,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0016012810248198558,0.11764705882352942,0.18135764944275584,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0016012810248198558,0.12082670906200318,0.0491388044579534,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0
0.006405124099279423,0.017488076311605726,0.007598784194528876,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.1589825119236884,0.2036474164133739,0.0,0.4,1.0,0.0,0.0,0.0,1.0,0.0
0.0008006405124099279,0.6836248012718601,0.17527862208713274,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0040032025620496394,0.011128775834658189,0.01114488348530902,0.004329004329004329,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0024019215372297837,0.03656597774244833,0.060283687943262415,0.0,0.8,0.0,1.0,0.0,0.0,1.0,0.0
0.0016012810248198558,0.014308426073131956,0.005572441742654508,0.004329004329004329,0.6000000000000001,0.0,1.0,0.0,0.0,0.0,0.0
0.0008006405124099279,0.011128775834658189,0.006079027355623101,0.00865800865800866,0.6000000000000001,1.0,0.0,0.0,0.0,1.0,0.0
0.023218574859887906,0.009538950715421305,0.005572441742654508,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0
0.0008006405124099279,0.24642289348171703,0.160081053698075,0.0,0.6000000000000001,1.0,0.0,0.0,0.0,1.0,0.0
0.0016012810248198558,0.13672496025437203,0.06484295845997974,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0
0.0016012810248198558,0.004769475357710652,0.009625126646403245,0.0,0.4,1.0,0.0,0.0,0.0,1.0,0.0
0.0016012810248198558,0.0,0.06905883636568702,0.0,0.6000000000000001,1.0,0.0,0.0,0.0,1.0,0.0
0.0040032025620496394,0.09697933227344993,0.03647416413373861,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0
0.0016012810248198558,0.06200317965023848,0.02330293819655522,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0
0.0008006405124099279,0.04292527821939587,0.09017223910840932,0.0,0.6000000000000001,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.109697933227345,0.2127659574468085,0.021645021645021648,0.4,0.0,1.0,0.0,0.0,0.0,1.0
